cell_id:ID(GridCell),city_id,population:float,type,type_source,green_cover_pct:float,elevation_m:float,dist_to_boundary_m:float,centroid_lat:float,centroid_lon:float
ghsl_5929_cell_04428,ghsl_5929,12597.229628890753,Residential,land_use,6.3,22.4,5809.3,35.4215921674216,139.5960562985014
ghsl_5929_cell_04429,ghsl_5929,15121.864242553711,Civic,land_use,5.3,45.0,5009.3,35.4215921674216,139.60738484841406
ghsl_5929_cell_04430,ghsl_5929,15408.357181549072,Residential,land_use,1.5,9.6,4238.4,35.42159216742159,139.61871339832666
ghsl_5929_cell_04431,ghsl_5929,10715.368425428867,Utility,land_use,5.7,42.3,3471.7,35.42159216742159,139.63004194823932
ghsl_5929_cell_04432,ghsl_5929,12698.090806990862,Civic,land_use,23.5,51.5,2828.0,35.4215921674216,139.64137049815199
ghsl_5929_cell_04433,ghsl_5929,10051.421613048762,Civic,land_use,6.8,22.8,2461.8,35.4215921674216,139.65269904806462
ghsl_5929_cell_04434,ghsl_5929,9275.433282345533,Civic,land_use,26.4,8.3,2031.2,35.4215921674216,139.66402759797725
ghsl_5929_cell_04435,ghsl_5929,7472.801791798323,Industrial,land_use,0.1,4.2,1060.9,35.4215921674216,139.6753561478899
ghsl_5929_cell_04436,ghsl_5929,267.7393176034093,Residential,heuristic,0.0,0.0,385.1,35.42159216742159,139.68668469780252
ghsl_5929_cell_04437,ghsl_5929,2018.6573036015034,Residential,land_use,4.5,7.2,384.8,35.4215921674216,139.9585698957059
ghsl_5929_cell_04438,ghsl_5929,2382.0965905790217,Civic,land_use,2.7,65.1,385.7,35.41285108836244,139.29208848852352
ghsl_5929_cell_04439,ghsl_5929,2063.7138668159023,Green,land_use,53.1,42.5,1157.0,35.41285108836243,139.30341627191626
ghsl_5929_cell_04440,ghsl_5929,1416.8874440193176,Civic,land_use,18.0,32.4,1928.3,35.41285108836243,139.31474405530895
ghsl_5929_cell_04441,ghsl_5929,6207.801799297333,Residential,land_use,3.2,38.2,2735.6,35.41285108836244,139.32607183870164
ghsl_5929_cell_04442,ghsl_5929,6868.269903182983,Civic,land_use,2.5,16.4,3648.1,35.41285108836243,139.33739962209435
ghsl_5929_cell_04443,ghsl_5929,4703.035500723869,Industrial,land_use,15.7,19.0,4609.8,35.41285108836243,139.34872740548707
ghsl_5929_cell_04444,ghsl_5929,2646.8998516257852,Industrial,land_use,20.7,13.7,5595.5,35.41285108836242,139.36005518887978
ghsl_5929_cell_04445,ghsl_5929,2603.064837408252,Industrial,land_use,22.7,12.7,6594.3,35.41285108836243,139.3713829722725
ghsl_5929_cell_04446,ghsl_5929,2037.6668754909188,Industrial,land_use,36.2,14.6,7601.2,35.41285108836243,139.38271075566524
ghsl_5929_cell_04447,ghsl_5929,3107.7047939896584,Civic,land_use,23.4,26.2,8613.2,35.41285108836244,139.39403853905793
ghsl_5929_cell_04448,ghsl_5929,2663.8960242569447,Green,land_use,51.7,24.4,9628.8,35.41285108836242,139.40536632245067
ghsl_5929_cell_04449,ghsl_5929,2055.9163648616523,Residential,heuristic,24.8,33.5,10436.3,35.41285108836243,139.41669410584336
ghsl_5929_cell_04450,ghsl_5929,1378.0850886255503,Residential,heuristic,10.3,39.1,11148.7,35.41285108836243,139.42802188923608
ghsl_5929_cell_04451,ghsl_5929,3610.821155043319,Green,land_use,62.9,45.3,11148.8,35.41285108836243,139.4393496726288
ghsl_5929_cell_04452,ghsl_5929,5613.760045647621,Civic,land_use,11.5,26.9,11149.1,35.41285108836242,139.45067745602154
ghsl_5929_cell_04453,ghsl_5929,5927.323862791061,Civic,land_use,12.1,40.9,11149.4,35.41285108836243,139.46200523941422
ghsl_5929_cell_04454,ghsl_5929,6814.744224190712,Residential,heuristic,15.5,30.0,11150.0,35.41285108836244,139.47333302280694
ghsl_5929_cell_04455,ghsl_5929,7634.519952222705,Civic,land_use,14.5,40.9,11203.4,35.41285108836243,139.48466080619966
ghsl_5929_cell_04456,ghsl_5929,9072.229290008545,Civic,land_use,7.7,37.4,11350.3,35.41285108836242,139.49598858959237
ghsl_5929_cell_04457,ghsl_5929,9401.448069572449,Civic,land_use,9.2,48.2,11587.1,35.41285108836243,139.50731637298512
ghsl_5929_cell_04458,ghsl_5929,10227.301168441772,Industrial,land_use,7.0,59.2,11908.5,35.41285108836244,139.51864415637783
ghsl_5929_cell_04459,ghsl_5929,11256.695990562439,Residential,land_use,5.7,32.1,10988.7,35.41285108836242,139.52997193977052
ghsl_5929_cell_04460,ghsl_5929,9827.026502609253,Industrial,land_use,1.9,17.2,9987.6,35.41285108836243,139.54129972316326
ghsl_5929_cell_04461,ghsl_5929,9987.32481622696,Civic,land_use,10.1,43.2,8992.8,35.41285108836243,139.55262750655595
ghsl_5929_cell_04462,ghsl_5929,12949.737394332886,Civic,land_use,1.4,54.2,8006.7,35.41285108836244,139.56395528994872
ghsl_5929_cell_04463,ghsl_5929,13386.525602340698,Civic,land_use,2.2,66.1,7032.9,35.41285108836243,139.5752830733414
ghsl_5929_cell_04464,ghsl_5929,14710.784591674805,Civic,land_use,1.1,24.7,6077.3,35.41285108836243,139.58661085673413
ghsl_5929_cell_04465,ghsl_5929,14827.570877075195,Civic,land_use,0.8,15.2,5150.1,35.41285108836244,139.59793864012684
ghsl_5929_cell_04466,ghsl_5929,11932.123249292374,Civic,land_use,8.1,28.2,4269.8,35.41285108836243,139.6092664235195
ghsl_5929_cell_04467,ghsl_5929,16136.116485595703,Residential,land_use,1.6,28.2,3468.1,35.41285108836243,139.62059420691227
ghsl_5929_cell_04468,ghsl_5929,7172.06883597374,Industrial,land_use,2.9,3.9,2697.3,35.41285108836243,139.63192199030496
ghsl_5929_cell_04469,ghsl_5929,6038.739177651703,Industrial,land_use,0.0,2.7,1941.1,35.41285108836243,139.6432497736977
ghsl_5929_cell_04470,ghsl_5929,2382.846976917237,Green,land_use,41.4,10.6,1477.1,35.41285108836243,139.6545775570904
ghsl_5929_cell_04471,ghsl_5929,7928.728794671595,Industrial,land_use,1.7,6.1,1454.6,35.41285108836243,139.6659053404831
ghsl_5929_cell_04472,ghsl_5929,5118.549356207252,Industrial,land_use,0.0,8.0,1060.9,35.41285108836243,139.67723312387582
ghsl_5929_cell_04473,ghsl_5929,487.6880102790892,Residential,heuristic,0.0,0.0,484.9,35.41285108836243,139.68856090726857
ghsl_5929_cell_04474,ghsl_5929,5.238519757986069,Residential,heuristic,0.0,0.0,385.2,35.41285108836243,139.69988869066125
ghsl_5929_cell_04475,ghsl_5929,1697.6180227845907,Residential,heuristic,2.2,216.1,385.9,35.40411036607205,139.19205095781047
ghsl_5929_cell_04476,ghsl_5929,1160.175412345212,Civic,land_use,0.7,69.6,385.7,35.404110366072054,139.2826670954727
ghsl_5929_cell_04477,ghsl_5929,3422.4648509919643,Industrial,land_use,10.4,55.3,1157.2,35.40411036607205,139.29399411268045
ghsl_5929_cell_04478,ghsl_5929,5704.848263382912,Civic,land_use,5.3,44.8,1928.5,35.40411036607205,139.30532112988826
ghsl_5929_cell_04479,ghsl_5929,4131.926008758135,Civic,land_use,12.2,23.0,2699.8,35.40411036607205,139.31664814709603
ghsl_5929_cell_04480,ghsl_5929,1448.7719989935867,Green,land_use,45.8,15.6,3471.0,35.40411036607205,139.3279751643038
